ID	FORM	LEMMA	UPOS	XPOS	FEATS	HEAD	DEPREL	DEPS	MISC
1	Le	le	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	2	det	_	_
2	chat	chat	NOUN	NOUN	Gender=Masc|Number=Sing	3	nsubj	_	_
3	dort	dortir	VERB	VERB	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	0	root	_	_
4	sur	sur	ADP	ADP	_	6	case	_	_
5	le	le	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	canapé	canapé	NOUN	NOUN	Gender=Masc|Number=Sing	3	obl:mod	_	_
7	et	et	CCONJ	CCONJ	_	10	cc	_	_
8	le	le	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	chien	chien	NOUN	NOUN	Gender=Masc|Number=Sing	10	nsubj	_	_
10	aboie	aboire	VERB	VERB	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	3	conj	_	_
11	dans	dans	ADP	ADP	_	13	case	_	_
12	le	le	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	jardin	jardin	NOUN	NOUN	Gender=Masc|Number=Sing	10	obl:mod	_	SpaceAfter=No
14	.	.	PUNCT	PUNCT	_	3	punct	_	SpaceAfter=No
